npm;cargo;Go;maven;pypi;rubygems
11;325;750;25;251;440
11;323;746;25;250;440
11;322;746;24;250;439
11;321;746;24;250;438
11;321;745;24;250;438
11;318;745;24;250;438
11;318;743;24;249;437
11;318;738;24;248;437
11;316;735;23;248;434
11;315;734;23;248;432
11;315;731;23;248;431
11;315;730;22;247;431
11;312;730;21;247;429
11;312;727;21;246;429
11;311;727;21;246;429
11;311;726;20;245;428
11;311;725;20;245;428
11;310;723;19;244;428
11;310;721;19;244;426
11;308;720;19;243;425
11;307;718;19;242;423
11;307;715;18;241;422
11;307;709;18;241;421
11;306;707;18;241;421
11;304;706;17;240;421
11;304;705;17;240;420
11;304;704;17;239;419
10;303;700;16;237;419
10;303;698;16;236;418
10;302;695;16;235;418
10;300;693;16;234;417
10;299;692;15;234;416
10;299;689;15;234;416
10;296;681;15;233;415
10;296;681;15;233;414
10;296;678;15;232;414
10;295;678;15;232;413
10;295;675;14;232;413
10;292;674;14;231;411
10;290;674;14;231;410
10;290;670;14;231;410
10;290;669;14;230;410
10;289;662;13;230;408
10;287;662;13;230;407
10;286;662;13;229;407
10;284;661;13;229;407
10;283;657;13;228;407
10;283;655;13;228;407
10;283;655;13;227;407
10;283;652;12;225;404
10;282;651;12;225;402
10;281;650;12;225;400
10;280;648;12;224;400
10;280;646;12;224;400
10;280;644;12;221;399
10;279;643;12;220;398
10;277;641;11;220;394
10;277;639;10;218;394
10;276;637;10;218;393
10;276;632;10;218;391
10;275;630;10;217;390
9;275;628;10;217;389
9;275;625;10;217;389
9;275;618;9;216;388
9;275;618;9;216;386
9;274;616;9;216;385
9;273;616;9;216;384
9;272;614;9;215;382
9;272;611;9;215;381
9;271;609;9;214;378
9;271;609;9;214;378
9;270;607;9;214;378
9;269;606;9;213;377
9;269;606;9;212;377
9;269;604;9;212;376
9;267;603;9;211;376
9;267;603;9;210;374
9;266;600;8;210;374
9;264;600;8;210;374
9;264;599;8;209;374
9;264;598;8;209;373
9;263;592;7;209;372
9;262;591;7;209;370
9;262;590;7;208;370
9;261;590;7;207;367
9;261;588;7;207;366
9;261;586;7;207;366
9;261;585;7;207;366
9;260;580;6;206;364
9;260;580;6;206;364
9;260;579;6;206;363
9;258;577;6;206;362
9;257;577;6;205;362
9;257;574;6;205;360
9;257;573;6;204;358
9;255;572;6;203;357
9;252;571;6;203;356
8;252;571;6;202;356
8;251;569;6;202;355
8;250;567;6;201;355
8;249;564;6;201;355
8;249;562;6;200;354
8;248;562;5;199;354
8;248;560;5;199;354
8;247;558;5;199;352
8;247;556;5;198;352
8;246;556;5;198;351
8;245;555;5;197;350
8;243;555;5;197;349
8;243;553;5;196;348
8;243;551;5;196;348
8;242;551;5;195;347
8;240;550;5;195;346
8;239;550;5;195;346
8;239;549;5;194;345
8;238;549;5;194;345
8;238;548;4;193;344
8;238;546;4;193;344
8;238;543;4;193;342
8;236;540;4;193;342
8;235;539;4;192;341
8;234;537;4;191;340
8;231;535;4;191;340
8;230;534;4;191;339
8;229;534;4;190;339
8;228;534;4;190;338
8;228;533;4;189;337
8;227;533;4;189;337
8;226;531;4;189;336
8;226;531;4;188;336
8;225;530;3;186;335
7;224;530;3;186;332
7;223;529;3;186;332
7;222;528;3;186;331
7;222;527;3;186;330
7;222;526;3;186;330
7;219;525;3;185;330
7;218;522;3;183;329
7;218;522;3;183;326
7;217;522;3;183;326
7;217;520;3;182;326
7;217;520;3;182;325
7;216;520;3;181;325
7;215;518;3;180;324
7;215;516;3;180;323
7;214;516;3;179;323
7;214;516;3;178;322
7;214;515;2;177;322
7;213;515;2;177;322
7;212;514;2;176;322
7;212;512;2;176;321
7;212;511;2;175;321
7;211;510;2;175;320
7;210;509;2;175;319
7;210;508;2;175;319
7;210;508;2;174;318
7;210;506;2;174;315
7;209;506;2;174;314
7;209;505;2;173;314
7;208;502;2;173;314
7;208;502;2;172;313
7;207;501;2;170;313
7;207;501;2;170;312
7;207;498;2;170;311
7;207;498;2;169;311
7;206;497;2;168;311
7;205;496;2;168;311
7;205;495;2;168;310
7;205;495;2;167;309
7;203;495;2;166;309
7;202;494;2;166;308
7;201;492;2;166;308
7;201;490;2;165;308
7;201;489;2;165;307
7;201;488;2;164;307
7;200;488;2;164;305
7;199;485;2;162;305
7;198;481;1;162;305
7;198;480;1;161;304
7;196;478;1;159;304
7;195;477;1;159;303
7;195;477;1;159;303
6;194;477;1;159;303
6;193;475;1;158;303
6;193;475;1;158;303
6;193;474;1;158;302
6;192;474;1;158;301
6;192;473;1;158;301
6;191;473;1;158;301
6;191;472;1;158;300
6;190;471;1;157;300
6;189;471;1;156;299
6;189;469;1;156;299
6;189;467;1;155;298
6;189;465;1;155;298
6;189;464;1;155;297
6;189;464;1;155;297
6;188;463;1;155;297
6;188;463;1;155;296
6;188;461;1;154;296
6;187;461;1;154;296
6;186;460;1;154;296
6;186;460;1;154;295
6;185;458;1;154;295
6;185;456;1;154;294
6;185;455;1;153;294
6;185;452;1;153;293
6;185;451;1;153;293
6;183;451;1;153;293
6;183;448;1;153;292
6;182;448;1;152;292
6;182;448;1;152;292
6;181;447;1;152;292
6;181;446;1;151;290
6;180;445;0;151;290
6;180;445;0;151;290
6;179;444;0;150;289
6;179;441;0;150;288
6;179;441;0;150;288
6;178;440;0;150;287
6;178;439;0;149;286
6;178;439;0;149;284
6;178;438;0;149;284
6;177;437;0;148;283
6;177;436;0;148;283
6;177;436;0;148;282
6;177;436;0;147;281
6;177;436;0;147;280
6;177;435;0;147;280
6;176;434;0;147;280
6;176;434;0;147;280
6;176;433;0;147;279
6;175;433;0;146;279
6;175;432;0;146;277
6;175;432;0;146;277
6;175;431;0;146;277
6;174;429;0;146;276
6;174;428;0;146;275
6;173;427;0;145;274
6;173;426;0;145;274
6;173;426;0;144;273
6;173;425;0;144;272
6;172;424;0;144;271
6;171;423;0;144;271
6;171;423;0;144;271
6;171;423;0;143;269
6;171;421;0;143;268
6;169;421;0;143;267
6;169;421;0;143;267
6;169;420;0;142;266
6;169;419;0;142;265
6;169;419;0;142;265
6;169;417;0;142;264
6;168;416;0;142;264
6;167;414;0;142;263
6;166;413;0;141;262
6;165;413;0;140;262
6;165;413;0;140;262
5;165;411;0;138;262
5;165;410;0;137;261
5;165;407;0;137;261
5;164;406;0;137;260
5;164;406;0;137;260
5;161;405;0;137;260
5;161;405;0;137;259
5;161;403;0;137;259
5;161;402;0;137;259
5;160;400;0;136;259
5;160;400;0;136;257
5;159;399;0;135;257
5;159;399;0;135;257
5;158;399;0;135;257
5;158;397;0;135;257
5;157;397;0;134;256
5;157;397;0;134;256
5;156;396;0;134;256
5;156;396;0;134;250
5;155;395;0;134;250
5;155;395;0;134;250
5;155;394;0;134;250
5;155;393;0;133;249
5;154;392;0;133;249
5;153;392;0;133;249
5;153;392;0;133;248
5;153;392;0;133;248
5;153;389;0;133;248
5;152;388;0;132;246
5;152;386;0;132;246
5;151;386;0;132;245
5;150;386;0;132;245
5;150;386;0;132;245
5;150;385;0;132;243
5;150;385;0;132;243
5;150;385;0;131;242
5;150;383;0;131;240
5;149;380;0;131;240
